Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,121.699997,121.900002,120.029999,120.459999,84.548050,578300
2005-01-04,120.669998,120.669998,118.559998,119.010002,83.530304,845400
2005-01-05,119.000000,119.379997,118.290001,118.290001,83.024979,618400
2005-01-06,118.570000,119.260002,118.449997,118.769997,83.361855,518500
2005-01-07,119.080002,119.339996,118.330002,118.550003,83.207466,583900
2005-01-10,118.650002,119.599998,118.540001,119.150002,83.628555,577600
2005-01-11,118.690002,118.860001,118.160004,118.339996,83.060051,237400
2005-01-12,118.540001,118.989998,117.680000,118.800003,83.382942,621800
2005-01-13,118.769997,118.889999,117.690002,117.820000,82.695091,804600
2005-01-14,118.129997,118.669998,117.940002,118.470001,83.151314,470200
2005-01-18,118.230003,119.730003,118.120003,119.730003,84.035690,3292200
2005-01-19,119.559998,119.629997,118.410004,118.410004,83.109238,762100
2005-01-20,118.050003,118.339996,117.480003,117.699997,82.610901,628500
2005-01-21,117.900002,118.110001,116.870003,116.900002,82.049347,1468200
2005-01-24,117.190002,117.459999,116.529999,116.750000,81.944084,657500
2005-01-25,117.070000,117.589996,116.879997,117.000000,82.119553,378500
2005-01-26,117.470001,117.739998,117.160004,117.389999,82.393272,369700
2005-01-27,117.269997,117.879997,117.150002,117.570000,82.519638,477000
2005-01-28,117.629997,117.690002,116.760002,117.239998,82.287994,731700
2005-01-31,118.089996,118.410004,117.860001,118.290001,83.024979,916800
2005-02-01,118.449997,119.199997,118.209999,119.050003,83.558395,323800
2005-02-02,119.120003,119.720001,119.050003,119.430000,83.825104,650900
2005-02-03,119.209999,119.320000,118.800003,119.139999,83.621582,565200
2005-02-04,119.139999,120.570000,119.139999,120.370003,84.484856,487300
2005-02-07,120.389999,120.650002,120.199997,120.209999,84.372566,1707000
2005-02-08,120.320000,120.790001,120.230003,120.360001,84.477852,410300
2005-02-09,120.580002,120.610001,119.389999,119.430000,83.825104,732200
2005-02-10,119.830002,120.150002,119.430000,119.980003,84.211105,294600
2005-02-11,119.889999,121.190002,119.639999,120.820000,84.800713,797400
2005-02-14,120.849998,121.040001,120.680000,120.809998,84.793663,362400
2005-02-15,121.010002,121.580002,120.879997,121.360001,85.179741,767700
2005-02-16,121.089996,121.599998,120.919998,121.349998,85.172737,473500
2005-02-17,121.349998,121.480003,120.360001,120.360001,84.477852,2473800
